,T,inp_air
0,-13.67,6397.94238155
1,-17.2,11012.7810049
2,-18.93,15092.1537788
3,-19.34,21690.9246073
4,-19.36,29591.3237347
5,-19.52,37109.1166289
6,-19.76,44393.98512
7,-21.31,44624.471402
8,-21.43,52186.9841698
9,-21.65,59072.8802406
10,-21.73,67076.3913458
11,-21.74,75744.4685527
12,-22.04,82102.8070368
13,-22.18,89832.3870244
14,-22.22,98588.080351
15,-22.54,104653.091392
16,-22.91,109864.6206
17,-23.25,115032.19755
18,-23.41,122473.11327
19,-23.63,128999.766253
20,-23.81,136084.40338
21,-23.9,144719.960751
22,-23.9,155057.670752
23,-23.97,164340.965929
24,-24.1,172667.059978
25,-24.29,179881.166928
26,-24.31,190550.35945
27,-24.31,201819.44299
28,-24.53,208693.975025
29,-24.74,215637.028016
30,-24.75,227314.912896
31,-24.82,237788.98925
32,-24.9,248212.426965
33,-24.98,258828.485311
34,-25.0,271210.180312
35,-25.03,283599.395372
36,-25.11,294933.460626
37,-25.26,304542.485137
38,-25.41,314229.741371
39,-25.44,327705.448119
40,-25.5,340587.512608
41,-25.52,355038.196999
42,-25.54,369856.538198
43,-25.56,385061.350058
44,-25.56,401306.866437
45,-25.62,416069.949446
46,-25.68,431248.005488
47,-25.84,443433.342789
48,-26.04,454313.598385
49,-26.04,472984.155473
50,-26.04,492229.280554
51,-26.19,506293.905177
52,-26.25,524395.159844
53,-26.29,543964.47019
54,-26.4,561295.801264
55,-26.44,582316.369153
56,-26.56,600594.395892
57,-26.58,624213.440591
58,-26.86,636284.155411
59,-26.97,657229.340343
60,-27.0,683443.660022
61,-27.0,712538.078667
62,-27.02,741984.962126
63,-27.05,772449.134204
64,-27.12,802425.229231
65,-27.18,834804.704217
66,-27.18,872720.386386
67,-27.23,910220.511747
68,-27.25,952209.909585
69,-27.35,992631.079931
70,-27.44,1037170.19598
71,-27.64,1078656.78732
72,-27.72,1132824.95274
73,-27.84,1190257.5425
74,-27.84,1263921.0807
75,-27.91,1342325.60481
76,-27.91,1438734.09376
77,-27.97,1548278.43661
78,-27.97,1687836.25514
79,-28.05,1861627.26326
80,-28.5,2077219.08248
81,-28.85,2476589.08754
